id,location_x,location_y,produce_quantity,perishability_window
1,692.3264143444536,1399.3153063148654,914,23
2,1364.6428045825357,163.38356724159763,732,95
3,645.0752742024766,414.1989493327851,996,58
4,1451.576065981776,983.2591901615984,600,99
5,181.84125685322627,415.1423705822856,630,98
6,1427.1590549441364,115.88664495842525,892,37
7,1399.1981542575843,1322.9390840775761,781,20
8,796.7362169079398,513.9136836650774,725,71
9,112.75441258455855,1447.5723738686536,586,14
10,1963.5083109201405,736.7208202751215,760,72
11,1571.3509340327407,1046.3620603670129,742,29
12,1513.1882734395529,502.70631081639533,747,25
13,1951.2965311360902,481.5026161305994,539,92
14,1253.6022069227267,488.82677486608844,982,81
15,980.696655576992,1290.8806794168224,623,46
16,564.3191607467999,921.6781889010609,920,44
17,963.7966571353872,1060.245061926871,642,40
18,1450.784855358805,987.2012921634622,814,12
19,1286.5399157198938,1811.0667020391104,612,93
20,1686.7465577574005,1479.6996701988337,684,75
21,840.891712336626,1654.3347962250566,689,80
22,599.1206554496098,1781.3843117791232,857,58
23,1158.3562567651018,336.02686241019796,911,11
24,1684.1587998003372,367.9682768771076,749,41
25,113.89055144002933,1000.5457756081,710,25
26,1126.1174011368923,242.67692320779238,957,58
27,1107.0387288130055,1582.0261074612247,937,89
28,700.5768901071802,1646.329855687056,911,89
29,1170.2067202340781,524.8165495787663,771,90
30,1949.7385350247512,1833.3471805725012,663,85
31,882.9317152054035,817.637976901316,794,43
32,1718.6118443896382,632.0564546775619,869,36
33,1624.2288527903252,376.4472353688555,984,55
34,1856.347868001046,538.5862289896261,594,85
35,300.4892250537405,437.88008290985226,847,16
36,390.638724032768,1091.650190650174,500,12
37,1055.3379832712558,547.4598425057457,818,89
38,1152.4397791623583,1336.398501120169,694,62
39,1320.351463595292,1949.564821414126,593,35
40,1918.8128250305128,1709.3688147013927,579,32
41,1554.5466158556187,1382.7845669737999,674,88
42,460.19614663568217,1208.0521281309332,663,93
43,570.7394103175486,382.6194755505208,615,79
44,714.9506101578462,612.689705274717,906,78
45,1860.760383087376,1987.0420034938436,566,38
46,195.22437348154466,1922.127793013483,970,44
47,962.739654029666,1157.8405714745866,540,39
48,1309.7095038665539,723.7567271445917,557,75
49,1173.1614287465256,1340.1732224655484,897,94
50,445.29797852066247,727.2391829069988,812,30
