id,location_x,location_y,demand,deadline,received_quantity
1,1005.9428983199725,1732.6073876931925,1191,43,0.0
2,1193.7392727018514,1414.6239851590244,1373,80,0.0
3,888.9625972087447,1990.9093931403079,678,93,0.0
4,985.1728257091404,735.3619494095918,1050,10,0.0
5,1638.7514421507096,1371.9481269607136,1405,33,0.0
6,1493.1353509843175,1909.0445909520413,702,85,0.0
7,1642.1021408383117,989.8116474288383,1215,5,0.0
8,1820.7927150736193,1308.3606653895536,716,83,0.0
9,1422.954729676985,1999.7719838943785,1398,17,0.0
10,1159.9520587497077,1477.8429081894465,618,80,0.0
11,1298.851698229249,1858.9135706892182,1186,88,0.0
12,1586.1775272433474,934.6071295875824,615,17,0.0
13,1910.7636259154488,1028.6071637000232,752,14,0.0
14,1760.7407139262125,977.4049757650171,1496,35,0.0
15,1628.0375602272857,1957.854127506859,1445,8,0.0
